Q17138507,béryllium 14,14,39954.498,132.245,0,4993.897,9.446,0,14.04289292,0.00014197,0
Q15132417,bore 14,14,23663.685,21.213,0,6101.644,1.515,0,14.025404012,2.2773e-05,0
Q840660,carbone 14,14,3019.89278,0.00376,0,7520.319,0,0,14.0032419884,4.03e-09,0
Q1138479,azote 14,14,2863.41672,0.00019,0,7475.614,0,0,14.0030740045,2.1e-10,0
Q1909461,oxygène 14,14,8007.781,0.025,0,7052.278,0.002,0,14.008596706,2.7e-08,0
Q18844461,fluor 14,14,31964.402,41.119,0,5285.208,2.937,0,14.034315199,4.4142e-05,0
Q17138511,béryllium 15,15,49825.815,165.797,0,4540.97,11.053,0,15.053490215,0.00017799,0
Q15132406,bore 15,15,28958.242,21.032,0,5879.985,1.402,0,15.031087953,2.2578e-05,0
Q2394372,carbone 15,15,9873.144,0.8,0,7100.169,0.053,0,15.010599256,8.58e-07,0
Q3271953,azote 15,15,101.43871,0.0006,0,7699.46,0,0,15.0001088989,6.5e-10,0
Q4595100,oxygène 15,15,2855.605,0.491,0,7463.692,0.033,0,15.003065618,5.26e-07,0
Q18844463,fluor 15,15,16566.751,14,0,6497.459,0.933,0,15.017785139,1.5029e-05,0
Q17138512,béryllium 16,16,57447.132,165.797,0,4285.285,10.362,0,16.061672036,0.00017799,0
Q15132405,bore 16,16,37112.51,24.569,0,5507.302,1.536,0,16.03984192,2.6375e-05,0
Q15132392,carbone 16,16,13694.132,3.578,0,6922.054,0.224,0,16.014701256,3.84e-06,0
Q15132634,azote 16,16,5683.907,2.301,0,7373.796,0.144,0,16.006101925,2.47e-06,0
Q2309203,oxygène 16,16,-4737.00135,0.00016,0,7976.206,0,0,15.9949146196,1.7e-10,0
Q18844464,fluor 16,16,10680.253,8.321,0,6963.731,0.52,0,16.011465723,8.932e-06,0
Q18844520,néon 16,16,23986.776,20.48,0,6083.177,1.28,0,16.025750864,2.1986e-05,0
Q15132384,bore 17,17,43716.317,204.104,0,5269.667,12.006,0,17.046931399,0.000219114,0
Q15132393,carbone 17,17,21031.898,17.365,0,6558.024,1.021,0,17.022578672,1.8641e-05,0
Q15132616,azote 17,17,7870.079,15,0,7286.229,0.882,0,17.008448877,1.6103e-05,0
Q3359113,oxygène 17,17,-808.76348,0.00066,0,7750.728,0,0,16.9991317566,7e-10,0
Q18844466,fluor 17,17,1951.702,0.248,0,7542.328,0.015,0,17.002095238,2.66e-07,0
Q18844521,néon 17,17,16500.447,0.354,0,6640.499,0.021,0,17.017713959,3.8e-07,0
Q15132383,bore 18,18,51792.634,204.165,0,4976.63,11.342,0,18.055601682,0.00021918,0
Q15132621,carbone 18,18,24919.264,30,0,6426.131,1.667,0,18.026751932,3.2206e-05,0
Q15132613,azote 18,18,13113.168,18.57,0,7038.562,1.032,0,18.014077565,1.9935e-05,0
Q662269,oxygène 18,18,-782.8156,0.00071,0,7767.097,0,0,17.9991596128,7.6e-10,0
Q2031969,fluor 18,18,873.113,0.463,0,7631.638,0.026,0,18.000937325,4.97e-07,0
Q18844524,néon 18,18,5317.614,0.363,0,7341.257,0.02,0,18.005708693,3.9e-07,0
Q18844503,sodium 18,18,25037.988,93.881,0,6202.217,5.216,0,18.026879386,0.000100785,0
Q15132376,bore 19,19,59770.244,525.363,0,4719.634,27.651,0,19.064166,0.000564,0
Q15132377,carbone 19,19,32413.752,98.389,0,6118.273,5.178,0,19.034797596,0.000105625,0
Q15132605,azote 19,19,15856.282,16.404,0,6948.543,0.863,0,19.017022419,1.761e-05,0
Q2681731,oxygène 19,19,3332.858,2.637,0,7566.495,0.139,0,19.00357797,2.83e-06,0
Q2257946,fluor 19,19,-1487.4442,0.00086,0,7779.018,0,0,18.9984031629,9.3e-10,0
Q18844525,néon 19,19,1752.05,0.16,0,7567.343,0.008,0,19.001880903,1.71e-07,0
Q18844504,sodium 19,19,12929.39,10.535,0,6937.885,0.554,0,19.013880272,1.1309e-05,0
Q18844475,magnésium 19,19,31828.389,50.001,0,5902.025,2.632,0,19.034169182,5.3678e-05,0
Q15132600,carbone 20,20,37503.563,230.625,0,5961.435,11.531,0,20.040261732,0.000247585,0
Q15132606,azote 20,20,21766.496,78.894,0,6709.171,3.945,0,20.023367295,8.4696e-05,0
Q15135439,oxygène 20,20,3796.172,0.885,0,7568.57,0.044,0,20.004075358,9.5e-07,0
Q15135607,fluor 20,20,-17.463,0.03,0,7720.134,0.002,0,19.999981252,3.1e-08,0
Q1956685,néon 20,20,-7041.93055,0.00157,0,8032.24,0,0,19.9924401762,1.68e-09,0
Q18844505,sodium 20,20,6850.604,1.114,0,7298.496,0.056,0,20.007354426,1.195e-06,0
Q18844477,magnésium 20,20,17477.692,1.863,0,6728.025,0.093,0,20.018763075,2e-06,0
Q15132598,carbone 21,21,45643,596,1,5674,28,1,21.049,0.00064,1
Q15135384,azote 21,21,25231.913,134.048,0,6609.015,6.383,0,21.027087573,0.000143906,0
Q15135440,oxygène 21,21,8062.035,12,0,7389.374,0.571,0,21.00865495,1.2882e-05,0
Q15135608,fluor 21,21,-47.605,1.8,0,7738.293,0.086,0,20.999948894,1.932e-06,0
Q2862844,néon 21,21,-5731.776,0.038,0,7971.713,0.002,0,20.993846685,4.1e-08,0
Q18844506,sodium 21,21,-2184.631,0.098,0,7765.547,0.005,0,20.997654702,1.05e-07,0
Q18844480,magnésium 21,21,10903.85,0.755,0,7105.031,0.036,0,21.011705764,8.1e-07,0
Q18844394,aluminium 21,21,26990,596,1,6302,28,1,21.028975,0.00064,1
Q15132592,carbone 22,22,53611.197,231.49,0,5421.077,10.522,0,22.05755399,0.000248515,0
Q15132594,azote 22,22,31764.801,207.779,0,6378.534,9.445,0,22.034100918,0.00022306,0
Q15135441,oxygène 22,22,9283.033,56.921,0,7364.871,2.587,0,22.009965746,6.1107e-05,0
Q15135600,fluor 22,22,2793.373,12.399,0,7624.295,0.564,0,22.002998809,1.331e-05,0
Q2021125,néon 22,22,-8024.719,0.018,0,8080.465,0.001,0,21.991385109,1.8e-08,0
Q1926858,sodium 22,22,-5181.511,0.171,0,7915.667,0.008,0,21.994437418,1.83e-07,0
Q18844481,magnésium 22,22,-399.933,0.313,0,7662.761,0.014,0,21.999570654,3.35e-07,0
Q18844395,aluminium 22,22,18201,401,1,6782,18,1,22.01954,0.00043,1
Q18844590,silicium 22,22,33338,503,1,6058,23,1,22.03579,0.00054,1
Q15135381,azote 23,23,36720.425,420.57,0,6236.671,18.286,0,23.039421,0.0004515,0
Q15135421,oxygène 23,23,14621.369,121.712,0,7163.485,5.292,0,23.015696686,0.000130663,0
Q15135590,fluor 23,23,3285.263,33.32,0,7622.344,1.449,0,23.003526874,3.577e-05,0
Q15146186,néon 23,23,-5154.049,0.104,0,7955.256,0.005,0,22.9944669,1.12e-07,0
Q2265714,sodium 23,23,-9529.85248,0.00181,0,8111.493,0,0,22.989769282,1.94e-09,0
Q18844482,magnésium 23,23,-5473.513,0.158,0,7901.115,0.007,0,22.994123941,1.7e-07,0
Q18844397,aluminium 23,23,6748.07,0.345,0,7335.727,0.015,0,23.007244351,3.7e-07,0
Q18844593,silicium 23,23,23697,503,1,6565,22,1,23.02544,0.00054,1
Q15135379,azote 24,24,46938,401,1,5887,17,1,24.05039,0.00043,1
Q15135581,oxygène 24,24,18500.402,164.874,0,7039.685,6.87,0,24.019861,0.000177,0
Q15135592,fluor 24,24,7544.515,97.67,0,7463.582,4.07,0,24.00809937,0.000104853,0
Q14662251,néon 24,24,-5951.646,0.513,0,7993.325,0.021,0,23.993610645,5.5e-07,0
Q13099323,sodium 24,24,-8417.901,0.017,0,8063.488,0.001,0,23.990963011,1.7e-08,0
Q2096096,magnésium 24,24,-13933.569,0.013,0,8260.709,0.001,0,23.985041697,1.4e-08,0
Q18844398,aluminium 24,24,-48.865,0.233,0,7649.582,0.01,0,23.999947541,2.5e-07,0
Q18844595,silicium 24,24,10745.195,19.472,0,7167.232,0.811,0,24.011535441,2.0904e-05,0
Q18844541,phosphore 24,24,33320,503,1,6194,21,1,24.03577,0.00054,1
Q15135376,azote 25,25,55983,503,1,5613,20,1,25.0601,0.00054,1
Q18844536,oxygène 25,25,27329.027,165.084,0,6727.805,6.603,0,25.029338919,0.000177225,0
Q15146160,fluor 25,25,11334.166,96.442,0,7336.306,3.858,0,25.012167727,0.000103535,0
Q14662159,néon 25,25,-2035.502,29.045,0,7839.799,1.162,0,24.997814799,3.1181e-05,0
Q14639231,sodium 25,25,-9357.813,1.2,0,8101.397,0.048,0,24.989953973,1.288e-06,0
