strontium-106,strontium 106,strontium,strontium,38,68,-34790,600,1,8119,6,1,105.962651,0.000644,1
strontium-107,strontium 107,strontium,strontium,38,69,-28900,700,1,8064,7,1,106.968975,0.000751,1
iodine-107,iode 107,iodine,iode,53,54,-49430,300,1,8146,3,1,106.946935,0.000322,1
yttrium-109,yttrium 109,yttrium,yttrium,39,70,-33200,700,1,8096,6,1,108.964358,0.000751,1
xenon-109,xénon 109,xenon,xénon,54,55,-46169.548,300.108,0,8107.306,2.753,0,108.950434948,0.000322178,0
zirconium-111,zirconium 111,zirconium,zirconium,40,71,-37560,700,1,8128,6,1,110.959678,0.000751,1
caesium-111,césium 111,caesium,césium,55,56,-42821,196,1,8069,2,1,110.95403,0.00021,1
zirconium-112,zirconium 112,zirconium,zirconium,40,72,-33810,700,1,8094,6,1,111.963703,0.000751,1
barium-113,baryum 113,barium,baryum,56,57,-39784,298,1,8036,3,1,112.95729,0.00032,1
niobium-114,niobium 114,niobium,niobium,41,73,-35387,503,1,8100,4,1,113.96201,0.00054,1
niobium-115,niobium 115,niobium,niobium,41,74,-31354,503,1,8065,4,1,114.96634,0.00054,1
molybdenum-116,molybdène 116,molybdenum,molybdène,42,74,-41500,500,1,8146,4,1,115.955448,0.000537,1
lanthanum-116,lanthane 116,lanthanum,lanthane,57,59,-40645,312,1,8037,3,1,115.956365,0.000335,1
molybdenum-117,molybdène 117,molybdenum,molybdène,42,75,-36170,500,1,8100,4,1,116.96117,0.000537,1
molybdenum-118,molybdène 118,molybdenum,molybdène,42,76,-32630,500,1,8069,4,1,117.96497,0.000537,1
technetium-119,technétium 119,technetium,technétium,43,76,-40371,503,1,8128,4,1,118.95666,0.00054,1
technetium-120,technétium 120,technetium,technétium,43,77,-35518,503,1,8087,4,1,119.96187,0.00054,1
technetium-121,technétium 121,technetium,technétium,43,78,-31780,500,1,8056,4,1,120.965883,0.000537,1
ruthenium-121,ruthénium 121,ruthenium,ruthénium,44,77,-45047,401,1,8159,3,1,120.95164,0.00043,1
ruthenium-122,ruthénium 122,ruthenium,ruthénium,44,78,-42150,500,1,8135,4,1,121.95475,0.000537,1
ruthenium-123,ruthénium 123,ruthenium,ruthénium,44,79,-37080,500,1,8093,4,1,122.960193,0.000537,1
rhodium-123,rhodium 123,rhodium,rhodium,45,78,-49360,400,1,8186,3,1,122.94701,0.000429,1
ruthenium-124,ruthénium 124,ruthenium,ruthénium,44,80,-33960,600,1,8068,5,1,123.963542,0.000644,1
rhodium-124,rhodium 124,rhodium,rhodium,45,79,-44890,400,1,8149,3,1,123.951809,0.000429,1
rhodium-125,rhodium 125,rhodium,rhodium,45,80,-42000,500,1,8126,4,1,124.954911,0.000537,1
rhodium-126,rhodium 126,rhodium,rhodium,45,81,-37300,500,1,8088,4,1,125.959957,0.000537,1
rhodium-127,rhodium 127,rhodium,rhodium,45,82,-34030,600,1,8062,5,1,126.963467,0.000644,1
palladium-127,palladium 127,palladium,palladium,46,81,-47180,500,1,8159,4,1,126.94935,0.000537,1
palladium-129,palladium 129,palladium,palladium,46,83,-37610,600,1,8084,5,1,128.959624,0.000644,1
silver-131,argent 131,silver,argent,47,84,-40380,500,1,8099,4,1,130.95665,0.000537,1
silver-132,argent 132,silver,argent,47,85,-33790,500,1,8049,4,1,131.963725,0.000537,1
cadmium-133,cadmium 133,cadmium,cadmium,48,85,-43920,298,1,8119,2,1,132.95285,0.00032,1
gadolinium-133,gadolinium 133,gadolinium,gadolinium,64,69,-35860,500,1,7964,4,1,132.961503,0.000537,1
cadmium-134,cadmium 134,cadmium,cadmium,48,86,-38920,400,1,8082,3,1,133.958218,0.000429,1
indium-136,indium 136,indium,indium,49,87,-40510,400,1,8087,3,1,135.956511,0.000429,1
indium-137,indium 137,indium,indium,49,88,-35040,500,1,8047,4,1,136.962383,0.000537,1
tin-138,étain 138,tin,étain,50,88,-44861,503,1,8113,4,1,137.95184,0.00054,1
tin-139,étain 139,tin,étain,50,89,-38440,500,1,8066,4,1,138.958733,0.000537,1
antimony-140,antimoine 140,antimony,antimoine,51,89,-43939,596,1,8100,4,1,139.95283,0.00064,1
antimony-141,antimoine 141,antimony,antimoine,51,90,-39110,500,1,8066,4,1,140.958014,0.000537,1
tellurium-143,tellure 143,tellurium,tellure,52,91,-40278,503,1,8068,4,1,142.95676,0.00054,1
thulium-144,thulium 144,thulium,thulium,69,75,-22259,400,1,7851,3,1,143.976104,0.000429,1
iodine-145,iode 145,iodine,iode,53,92,-40939,503,1,8068,3,1,144.95605,0.00054,1
xenon-148,xénon 148,xenon,xénon,54,94,-38600,300,1,8047,2,1,147.958561,0.000322,1
caesium-152,césium 152,caesium,césium,55,97,-28930,500,1,7979,3,1,151.968942,0.000537,1
barium-154,baryum 154,barium,baryum,56,98,-32820,500,1,8000,3,1,153.964766,0.000537,1
lanthanum-156,lanthane 156,lanthanum,lanthane,57,99,-33050,400,1,7997,3,1,155.964519,0.000429,1
tungsten-157,tungstène 157,tungsten,tungstène,74,83,-19470,400,1,7827,3,1,156.979098,0.000429,1
cerium-158,cérium 158,cerium,cérium,58,100,-36660,400,1,8016,3,1,157.960644,0.000429,1
rhenium-159,rhénium 159,rhenium,rhénium,75,84,-14745,305,1,7795,2,1,158.984171,0.000327,1
praseodymium-160,praséodyme 160,praseodymium,praséodyme,59,101,-36520,400,1,8011,2,1,159.960794,0.000429,1
osmium-161,osmium 161,osmium,osmium,76,85,-9979,400,1,7764,2,1,160.989287,0.000429,1
neodymium-162,néodyme 162,neodymium,néodyme,60,102,-39550,400,1,8026,2,1,161.957541,0.000429,1
promethium-164,prométhium 164,promethium,prométhium,61,103,-38870,400,1,8017,2,1,163.958271,0.000429,1
samarium-166,samarium 166,samarium,samarium,62,104,-40730,400,1,8024,2,1,165.956275,0.000429,1
europium-168,europium 168,europium,europium,63,105,-39740,500,1,8014,3,1,167.957337,0.000537,1
gadolinium-170,gadolinium 170,gadolinium,gadolinium,64,106,-41380,596,1,8020,4,1,169.955577,0.00064,1
terbium-172,terbium 172,terbium,terbium,65,107,-39850,503,1,8007,3,1,171.957219,0.00054,1
